pl_name,hostname,sy_snum,pl_rade,pl_bmassj,st_spectype,sy_dist,ra,dec
"K2-18 c","K2-18",1,,0.02362898,,38.02660000,172.5601410,7.5878315
"HD 176986 b","HD 176986",1,,0.01686445,"K2.5 V",27.78430000,285.7739138,-11.0449410
"HD 176986 c","HD 176986",1,,0.03067693,"K2.5 V",27.78430000,285.7739138,-11.0449410
"GJ 3942 b","GJ 3942",1,,0.02246484,"M0",16.92870000,242.2645452,52.9441443
"Kepler-500 b","Kepler-500",1,2.58000000,,,807.48000000,295.9513472,43.8519884
"Kepler-269 b","Kepler-269",1,2.47000000,,,2257.32000000,290.2151459,41.7759810
"PSR J2322-2650 b","PSR J2322-2650",1,,0.79490000,,230.00000000,350.6443481,-26.8495331
"K2-140 b","K2-140",1,13.56286665,0.93000000,"G6 V",347.91700000,188.1373172,-9.6076115
"HD 147379 b","HD 147379",2,,0.06796120,"M0.0 V",10.76430000,244.1725686,67.2392041
"HATS-50 b","HATS-50",1,12.66617000,0.39000000,,756.74200000,300.4280761,-26.0775640
"HATS-51 b","HATS-51",1,15.80469000,0.76800000,,389.57000000,102.8474248,-29.0586551
"HATS-52 b","HATS-52",1,15.49083800,2.24000000,,555.13400000,140.0875894,-31.2692116
"HATS-53 b","HATS-53",1,15.02006000,0.59500000,,585.77000000,176.6283230,-33.8600764
"K2-138 b","K2-138",1,1.51000000,0.00975364,,202.58500000,348.9490311,-10.8497391
"K2-138 c","K2-138",1,2.29900000,0.01985338,,202.58500000,348.9490311,-10.8497391
"K2-138 d","K2-138",1,2.39000000,0.02491898,,202.58500000,348.9490311,-10.8497391
"Kepler-775 b","Kepler-775",1,1.19000000,,,398.67600000,291.4332781,41.7033162
"K2-138 e","K2-138",1,3.39000000,0.04080798,,202.58500000,348.9490311,-10.8497391
"K2-138 f","K2-138",1,2.90400000,0.00512853,,202.58500000,348.9490311,-10.8497391
"KELT-19 A b","KELT-19 A",2,21.40919000,4.07000000,"A8 V",300.27600000,111.5095293,7.6157759
"K2-141 b","K2-141",1,1.51000000,0.01563737,,61.87360000,350.9170464,-1.1891827
"K2-141 c","K2-141",1,7.00000000,0.02517081,,61.87360000,350.9170464,-1.1891827
"HD 238914 b","HD 238914",1,,6.00000000,,519.45200000,279.5842102,59.2538819
"TYC 3318-01333-1 b","TYC 3318-01333-1",1,,3.42000000,,490.61000000,45.5825716,49.7441421
"BD+48 740 b","BD+48 740",1,,1.70000000,,666.58900000,40.7425426,48.9300579
