pl_name,hostname,sy_snum,pl_rade,pl_bmassj,st_spectype,sy_dist
"Kepler-294 b","Kepler-294",1,1.77000000,,,1357.01000000
"Kepler-296 d","Kepler-296",2,2.09000000,,,
"Kepler-297 c","Kepler-297",1,6.54000000,,,692.14000000
"Kepler-1669 b","Kepler-1669",1,2.78043818,,,543.44400000
"Kepler-302 b","Kepler-302",1,4.06000000,,,1402.58000000
"Kepler-306 b","Kepler-306",1,1.52000000,,,775.67900000
"NGTS-24 b","NGTS-24",1,13.60770257,0.52000000,"G2 IV",683.06200000
"Kepler-84 c","Kepler-84",1,2.36000000,,,1023.90000000
"Kepler-509 b","Kepler-509",1,2.49000000,,,332.44300000
"Kepler-1756 b","Kepler-1756",1,1.47199944,,,
"Kepler-309 c","Kepler-309",1,2.51000000,,,544.56800000
"LP 890-9 b","LP 890-9",1,1.32000000,0.04153184,"M6 V",32.42980000
"TOI-4308 b","TOI-4308",1,2.41890000,,,108.93200000
"Kepler-65 b","Kepler-65",1,1.42000000,,,303.72800000
"TOI-4311 c","TOI-4311",1,2.47000000,0.04272746,"K",134.98800000
"TOI-4311 b","TOI-4311",1,1.37600000,0.01415858,"K",134.98800000
"Kepler-466 c","Kepler-466",1,1.25000000,,,530.12200000
"Kepler-23 d","Kepler-23",1,2.20600000,0.01396980,,835.75600000
"TOI-4336 A b","TOI-4336 A",3,2.13700000,0.01047735,"M3.5 V",22.54550000
"Kepler-119 c","Kepler-119",1,0.92000000,,,701.99600000
"TOI-4342 b","TOI-4342",1,2.32900000,0.02296837,"M0 V",61.52040000
"TOI-4342 c","TOI-4342",1,2.34900000,0.01510249,"M0 V",61.52040000
"Kepler-121 c","Kepler-121",1,2.27000000,,,510.52300000
"Kepler-449 c","Kepler-449",1,2.76400000,,,241.94900000
"TOI-4363 b","TOI-4363",1,1.76689273,,,77.77510000
"TOI-4364 b","TOI-4364",1,2.01000000,,"M4 V",43.96620000
"Kepler-450 c","Kepler-450",1,2.62000000,,,455.98200000
"Kepler-130 b","Kepler-130",2,1.02000000,,,316.66300000
"TOI-4377 b","TOI-4377",1,15.10970598,0.95700000,,455.82000000
"TOI-4379 b","TOI-4379",1,16.69017226,1.11300000,,645.15800000
"Kepler-1663 b","Kepler-1663",1,3.30395896,,,337.92600000
"Kepler-133 b","Kepler-133",1,1.76000000,,,653.60000000
"Kepler-529 c","Kepler-529",1,2.00000000,,,799.00800000
"TOI-4405 b","TOI-4405",1,2.55505441,,,155.50100000
"TOI-4406 b","TOI-4406",1,11.20898070,0.30000000,,261.83400000
"Kepler-149 d","Kepler-149",1,3.96000000,,,571.03400000
"Kepler-152 c","Kepler-152",1,2.39000000,,,441.09000000
"TOI-4427 b","TOI-4427",1,13.09208946,0.27600000,,198.25100000
"Kepler-153 c","Kepler-153",1,2.53000000,,,459.36800000
"TOI-4438 b","TOI-4438",1,2.40000000,0.01293151,"M3.5 V",30.03460000
"TOI-4443.01","TOI-4443",1,1.71932650,,,56.07390000
"Kepler-553 c","Kepler-553",1,11.57887706,6.70000000,,728.52500000
"TOI-4458 b","TOI-4458",1,12.40834163,1.73700000,,505.43200000
"Kepler-157 b","Kepler-157",1,1.32000000,,,773.71300000
"TOI-4463 A b","TOI-4463 A",2,13.26022417,0.79400000,,173.11700000
